compound_iso_smiles,affinity
CNc1ccc(C=C2C=Cc3ccccc32)cc1,5
CN(Cc1ccccc1Cl)C(=O)c1cc2ccccc2o1,4.650000221
CC(C)CCC1(C)NC(=O)N(CC(=O)Nc2ccc3c(c2)OCCO3)C1=O,5.250001023
COc1ccc(N2CCN(C(=O)c3ccc(Br)cc3)CC2)c([N+](=O)[O-])c1,5.050000457
Cc1[nH]c2ccccc2c1Cc1nnc(SCc2ccccc2)o1,4.800000875
CCOC(=O)c1cc(-c2ccccc2)n(CCC(=O)N2CCN(c3ccccc3OC)CC2)c1C,4.450000476
O=C(O)c1ccc(C=NN=C2c3ccccc3-c3ccccc32)cc1,5.299997603
COc1ccc(C2C3C=CC(C3)C2C(=O)O)cc1,5.499996932
O=S(=O)(Nc1ccc(Cl)cc1)c1cccc2cccnc12,4.450000476
CC(C)c1cc(F)cc2c1C[C@](CCN(C)CCCc1nc3ccccc3[nH]1)(OC(=O)C1CC1)CC2,4.6862129
O=S1(=O)CC(N2CCCCC2)CN1Cc1ccccc1,5.250001023
COc1ccc(C(C)(O)c2nc(-c3cccc(C(F)(F)F)c3)cs2)cc1,4.599999383
COc1ccc(CC(=N)NOC(=O)CCc2ccccc2)cc1,4.450000476
CCC(c1nnnn1-c1ccc2c(c1)OCCO2)N1CCN(c2ncccc2C(F)(F)F)CC1,4.450000476
O=S(=O)(c1cccs1)N1CCN(c2ccc(Cl)cc2)CC1,4.899998417
O=C(CSc1nnc(CCc2ccccc2)n1-c1ccc(Cl)cc1)c1ccccc1,4.450000476
CCCCC[C@@H]1CCCCC[C@@H](O)C[C@@H](O)[C@@H](O)/C=C/C(=O)O1,5.399996913
Cc1nc2ccc(Nc3nc4cc(S(=O)(=O)N5CCOCC5)ccc4o3)cc2s1,5.050000457
CCCNC(=O)C1(C)CCCN(C(=O)c2ccc3sccc3c2)C1,5.250001023
,4.849999245
Cc1nn(CC(O)CN2c3ccccc3Sc3ccccc32)c(C)c1Br,4.599999383
COc1ccc(NC(=O)/C(Cl)=C(/Cl)[S+]([O-])Cc2ccc(Cl)cc2)cn1,5.399996913
,4.450000476
N#C/C(=C\c1ccccc1C(F)(F)F)C(=O)Nc1ccccc1F,4.800000875
COc1ccc(C(=O)/C=C/Nc2c(C)n(C)n(-c3ccccc3)c2=O)c(OC)c1,4.949999402
O=C1c2ccccc2C2(c3ccc(Cl)cc3)NCCN12,5.499996932
Cc1ccc2nc(-c3cccc(NS(C)(=O)=O)c3)cc(-c3ccccc3)c2c1,5
O=C(COC(=O)c1ccc2c(c1[N+](=O)[O-])C(=O)c1ccccc1C2=O)NC1CC1,5
O=C1Nc2ccc(Br)cc2/C1=C/C(=O)c1ccc2c(c1)OCO2,5.199998172
O=C1c2ccccc2C(O)N1Cc1ccco1,4.450000476
O=S(=O)(N[C@H]1C[C@@H](NS(=O)(=O)OCC(Cl)(Cl)Cl)C2CCCCC21)OCC(Cl)(Cl)Cl,4.450000476
Cc1ccccc1OCc1n(CC(=O)OC2CC(C)CCC2C(C)C)c2ccccc2[n+]1C.[Cl-],4.450000476
Cc1ccc2cc(C=O)c(N(C)C)nc2c1,5.250001023
O=C(Nc1ccccc1)Oc1cccc2cccnc12,4.899998417
COc1ccc(C(=O)/C=C2\C(=O)Nc3ccc(Br)cc32)cc1,5.350003493
CCc1c(SCCC(=O)O)nc2ccccc2c1C,4.949999402
Cc1ccc(C(=O)O/N=C(\N)c2ccccc2)c(Cl)c1,4.849999245
COc1cccc(/C=C2\C(=O)N(c3cccc(C)c3)C(=O)c3ccccc32)c1,4.450000476
